city,year,people,air_general_level,net_salary,avg_age,ilm,birth,crimes,criminals,death,pens,preschool_child,length_of_roads,energy_consumption,migration_net,housing_stock,wage,workers,poverty_level,housing_price
Ангарск,2019,226374.0,3.0,42824.0,37.71,10776.0,9.4,4203.0,1979.0,13.5,76.2,16018.0,301.7,182.8,59.0,26.2,49795.9,54.0,17.9,56780.88
Ангарск,2020,224630.0,3.0,45642.0,37.88,10776.0,9.4,4203.0,1979.0,13.5,76.2,16018.0,383.3,204.5,-205.0,26.98,49795.9,54.0,17.6,79891.98
Ангарск,2021,224630.0,3.0,48664.0,38.02,10776.0,9.4,4203.0,1979.0,13.5,76.2,16018.0,511.4,161.4,-863.0,26.96,49795.9,54.0,16.4,84049.59
Ангарск,2022,221296.0,3.0,51885.0,38.05,10776.0,9.4,4203.0,1979.0,13.5,76.2,16018.0,196.7,176.2,-480.0,27.38,49795.9,54.0,13.9,96437.94
Апатиты,2015,57905.0,1.0,37615.0,38.25,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,421.4,164.6,81.0,26.2,40126.3,84.1,9.4,56493.26
Апатиты,2016,57167.0,1.0,37615.0,38.36,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,448.8,201.5,81.0,26.3,40126.3,84.1,9.4,56493.26
Апатиты,2017,56730.0,1.0,37615.0,38.49,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,542.8,209.2,81.0,26.7,40126.3,84.1,9.4,56493.26
Апатиты,2018,56356.0,1.0,37615.0,38.62,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,245.1,190.0,81.0,27.1,40126.3,84.1,9.4,56493.26
Апатиты,2019,55780.0,1.0,37615.0,38.8,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,339.3,187.7,81.0,27.4,40126.3,84.1,9.9,56493.26
Апатиты,2020,55125.0,1.0,37615.0,39.04,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,174.9,210.9,81.0,28.08,40126.3,84.1,9.4,56493.26
Апатиты,2021,54278.0,1.0,37615.0,39.23,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,437.5,193.2,81.0,28.65,40126.3,84.1,8.6,56493.26
Апатиты,2022,53438.0,1.0,37615.0,39.37,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,159.5,166.9,81.0,28.89,40126.3,84.1,7.0,56493.26
Арзамас,2015,105352.0,1.0,21456.0,41.03,10776.0,13.1,1439.0,638.0,12.7,93.85,5.8,167.6,212.9,-91.0,24.6,24948.6,31.9,9.5,60777.17
Арзамас,2016,105133.0,1.0,23067.0,41.08,10776.0,12.9,1393.0,664.0,12.6,93.85,5.9,171.9,176.2,-264.0,24.7,26822.4,31.2,9.5,59887.54
Арзамас,2017,104835.0,1.0,25548.0,41.16,10776.0,11.3,1332.0,591.0,11.5,93.85,6.0,341.1,169.8,-385.0,25.1,29707.4,31.2,9.5,54074.26
